event_id,ts,video_rel,false_trigger,notes,reviewed_at,species,movement,count
150,2025-10-30 17:04:23,25  10  24  10  33\150.mp4,0,T,2026-02-02T09:17:25,Chinook,Up,1.0
151,2025-10-30 17:06:03,25  10  24  10  33\151.mp4,0,T,2026-02-02T09:17:39,Chinook,Up,1.0
152,2025-10-30 17:06:45,25  10  24  10  33\152.mp4,0,T,2026-02-02T09:18:11,Non fish,Down,1.0
153,2025-10-30 17:09:45,,0,,2026-02-02T09:18:16,Non fish,Stay,1.0
154,2025-10-30 17:09:46,25  10  24  10  33\154.mp4,0,T,2026-02-02T09:18:34,Non fish,Down,1.0
155,2025-10-30 17:15:29,25  10  24  10  33\155.mp4,0,T,2026-02-02T09:18:49,Chinook,Up,1.0
156,2025-10-30 17:22:27,25  10  24  10  33\156.mp4,0,T,2026-02-02T09:19:05,Chinook,Stay,1.0
157,2025-10-30 17:29:53,25  10  24  10  33\157.mp4,0,T,2026-02-02T09:19:20,Chinook,Up,1.0
158,2025-10-30 17:31:49,25  10  24  10  33\158.mp4,0,T,2026-02-02T09:19:34,Non fish,Down,1.0
159,2025-10-30 17:42:49,25  10  24  10  33\159.mp4,0,T,2026-02-02T09:19:49,Chinook,Up,1.0
160,2025-10-30 18:01:35,25  10  24  10  33\160.mp4,0,T,2026-02-02T09:20:14,Chinook,Up,2.0
161,2025-10-30 18:26:14,25  10  24  10  33\161.mp4,0,T,2026-02-02T09:20:41,Unknown,Up,1.0
162,2025-10-30 18:45:58,25  10  24  10  33\162.mp4,0,T,2026-02-02T09:20:57,Chinook,Up,1.0
163,2025-10-30 19:23:06,25  10  24  10  33\163.mp4,0,T,2026-02-02T09:21:14,Non fish,Down,1.0
164,2025-10-30 20:13:00,25  10  24  10  33\164.mp4,0,T,2026-02-02T09:21:31,Non fish,Down,1.0
165,2025-10-30 20:16:30,25  10  24  10  33\165.mp4,0,T,2026-02-02T09:21:49,Non fish,Down,1.0
166,2025-10-30 20:16:44,25  10  24  10  33\166.mp4,0,T,2026-02-02T09:22:04,Non fish,Down,1.0
167,2025-10-30 20:17:02,25  10  24  10  33\167.mp4,0,T,2026-02-02T09:22:19,Non fish,Down,1.0
168,2025-10-30 20:17:27,25  10  24  10  33\168.mp4,0,T,2026-02-02T09:22:35,Non fish,Down,1.0
169,2025-10-30 20:26:07,25  10  24  10  33\169.mp4,0,T,2026-02-02T09:22:57,Non fish,Down,1.0
170,2025-10-30 20:27:28,25  10  24  10  33\170.mp4,0,T,2026-02-02T09:23:25,Non fish,Down,1.0
171,2025-10-30 20:30:18,25  10  24  10  33\171.mp4,0,T,2026-02-02T09:23:40,Non fish,Down,1.0
172,2025-10-30 20:31:27,25  10  24  10  33\172.mp4,0,T,2026-02-02T09:24:01,Non fish,Down,1.0
173,2025-10-30 20:38:14,25  10  24  10  33\173.mp4,0,T,2026-02-02T09:24:21,Non fish,Down,1.0
174,2025-10-30 20:45:20,25  10  24  10  33\174.mp4,0,T,2026-02-02T09:24:36,Non fish,Down,1.0
175,2025-10-30 23:02:03,25  10  24  10  33\175.mp4,0,T,2026-02-02T09:24:56,Non fish,Down,1.0
176,2025-10-30 23:44:56,25  10  24  10  33\176.mp4,0,T,2026-02-02T09:25:20,Chinook,Up,1.0
177,2025-10-31 00:47:41,25  10  24  10  33\177.mp4,0,T,2026-02-02T09:25:35,Chinook,Up,1.0
178,2025-10-31 01:28:31,25  10  24  10  33\178.mp4,0,T,2026-02-02T09:25:54,Non fish,Down,1.0
179,2025-10-31 01:40:12,25  10  24  10  33\179.mp4,0,T,2026-02-02T09:26:09,Non fish,Down,1.0
180,2025-10-31 05:05:51,25  10  24  10  33\180.mp4,0,T,2026-02-02T09:26:28,Non fish,Down,1.0
181,2025-10-31 05:10:14,25  10  24  10  33\181.mp4,0,T,2026-02-02T09:26:44,Non fish,Down,1.0
182,2025-10-31 05:24:39,25  10  24  10  33\182.mp4,0,T,2026-02-02T09:27:00,Non fish,Down,1.0
183,2025-10-31 09:28:41,25  10  24  10  33\183.mp4,0,T,2026-02-02T09:28:13,Non fish,Down,1.0
184,2025-10-31 09:47:27,25  10  24  10  33\184.mp4,0,T,2026-02-02T09:28:30,Non fish,Down,1.0
185,2025-10-31 11:17:03,25  10  24  10  33\185.mp4,0,T,2026-02-02T09:28:39,Chinook,Up,1.0
186,2025-10-31 11:44:02,25  10  24  10  33\186.mp4,0,T,2026-02-02T09:28:55,Non fish,Down,1.0
187,2025-10-31 12:11:46,25  10  24  10  33\187.mp4,0,T,2026-02-02T09:29:13,Chinook,Up,1.0
188,2025-10-31 12:17:05,25  10  24  10  33\188.mp4,0,T,2026-02-02T09:29:30,Non fish,Down,1.0
189,2025-10-31 12:35:23,25  10  24  10  33\189.mp4,0,T,2026-02-02T09:29:48,Chinook,Up,1.0
189,2025-10-31 12:35:23,25  10  24  10  33\189.mp4,0,T,2026-02-02T09:29:48,Rainbow,Up,1.0
190,2025-10-31 12:38:18,25  10  24  10  33\190.mp4,0,T,2026-02-02T09:30:05,Chinook,Stay,1.0
191,2025-10-31 12:40:17,25  10  24  10  33\191.mp4,0,T,2026-02-02T09:30:23,Non fish,Down,1.0
192,2025-10-31 12:46:02,25  10  24  10  33\192.mp4,0,T,2026-02-02T09:30:40,Chinook,Up,1.0
193,2025-10-31 12:59:24,25  10  24  10  33\193.mp4,0,T,2026-02-02T09:30:55,Chinook,Up,1.0
194,2025-10-31 13:03:04,25  10  24  10  33\194.mp4,0,T,2026-02-02T09:33:44,Rainbow,Stay,1.0
195,2025-10-31 13:08:43,25  10  24  10  33\195.mp4,0,T,2026-02-02T09:33:58,Chinook,Up,1.0
196,2025-10-31 13:12:21,,0,,2026-02-02T09:34:04,Non fish,Stay,1.0
197,2025-10-31 13:12:25,25  10  24  10  33\197.mp4,0,T,2026-02-02T09:34:24,Rainbow,Stay,1.0
198,2025-10-31 13:33:23,25  10  24  10  33\198.mp4,0,T,2026-02-02T09:34:41,Chinook,Up,1.0
199,2025-10-31 13:37:30,25  10  24  10  33\199.mp4,0,T,2026-02-02T09:35:08,Non fish,Down,1.0
200,2025-10-31 13:52:56,25  10  24  10  33\200.mp4,0,T,2026-02-02T09:35:23,Chinook,Up,1.0
201,2025-10-31 13:56:27,25  10  24  10  33\201.mp4,0,T,2026-02-02T09:35:42,Rainbow,Stay,1.0
202,2025-10-31 14:06:12,25  10  24  10  33\202.mp4,0,T,2026-02-02T09:35:58,Rainbow,Up,1.0
203,2025-10-31 14:09:35,25  10  24  10  33\203.mp4,0,T,2026-02-02T09:36:16,Chinook,Up,1.0
204,2025-10-31 14:14:57,25  10  24  10  33\204.mp4,0,T,2026-02-02T09:36:31,Chinook,Up,1.0
205,2025-10-31 14:15:15,25  10  24  10  33\205.mp4,0,T,2026-02-02T09:36:45,Chinook,Up,1.0
206,2025-10-31 14:16:57,25  10  24  10  33\206.mp4,0,T,2026-02-02T09:37:21,Rainbow,Up,1.0
207,2025-10-31 14:18:53,25  10  24  10  33\207.mp4,0,T,2026-02-02T09:37:38,Chinook,Up,1.0
208,2025-10-31 14:28:32,25  10  24  10  33\208.mp4,0,T,2026-02-02T09:37:54,Chinook,Up,1.0
209,2025-10-31 14:29:18,25  10  24  10  33\209.mp4,0,T,2026-02-02T09:38:11,Chinook,Up,1.0
210,2025-10-31 14:32:29,25  10  24  10  33\210.mp4,0,T,2026-02-02T09:38:27,Chinook,Up,1.0
211,2025-10-31 14:35:21,25  10  24  10  33\211.mp4,0,T,2026-02-02T09:38:42,Chinook,Up,1.0
212,2025-10-31 14:39:52,25  10  24  10  33\212.mp4,0,T,2026-02-02T09:38:59,Chinook,Up,1.0
213,2025-10-31 14:50:30,25  10  24  10  33\213.mp4,0,T,2026-02-02T09:39:15,Chinook,Up,1.0
214,2025-10-31 14:52:31,25  10  24  10  33\214.mp4,0,T,2026-02-02T09:53:07,Chinook,Up,1.0
215,2025-10-31 14:53:56,25  10  24  10  33\215.mp4,0,T,2026-02-02T09:54:24,Rainbow,Stay,1.0
216,2025-10-31 14:57:59,25  10  24  10  33\216.mp4,0,T,2026-02-02T09:54:41,Chinook,Stay,1.0
217,2025-10-31 15:00:52,25  10  24  10  33\217.mp4,0,T,2026-02-02T09:55:31,Chinook,Stay,1.0
218,2025-10-31 15:06:45,,0,,2026-02-02T09:55:34,Non fish,Stay,1.0
219,2025-10-31 15:06:46,25  10  24  10  33\219.mp4,0,T,2026-02-02T09:55:53,Chinook,Down,1.0
219,2025-10-31 15:06:46,25  10  24  10  33\219.mp4,0,T,2026-02-02T09:55:53,Chinook,Up,1.0
220,2025-10-31 15:12:57,25  10  24  10  33\220.mp4,0,T,2026-02-02T09:56:13,Chinook,Up,1.0
221,2025-10-31 15:13:43,25  10  24  10  33\221.mp4,0,T,2026-02-02T09:56:30,Rainbow,Up,1.0
222,2025-10-31 15:16:50,25  10  24  10  33\222.mp4,0,T,2026-02-02T09:56:50,Chinook,Up,1.0
223,2025-10-31 15:17:21,25  10  24  10  33\223.mp4,0,,2026-02-02T09:57:17,Chinook,Up,1.0
224,2025-10-31 15:24:14,,0,,2026-02-02T09:57:21,Non fish,Stay,1.0
225,2025-10-31 15:24:25,25  10  24  10  33\225.mp4,0,,2026-02-02T09:57:42,Chinook,Down,1.0
225,2025-10-31 15:24:25,25  10  24  10  33\225.mp4,0,,2026-02-02T09:57:42,Chinook,Stay,1.0
226,2025-10-31 15:27:08,,0,,2026-02-02T09:57:45,Non fish,Stay,1.0
227,2025-10-31 15:27:21,25  10  24  10  33\227.mp4,0,,2026-02-02T09:58:05,Chinook,Up,1.0
227,2025-10-31 15:27:21,25  10  24  10  33\227.mp4,0,,2026-02-02T09:58:05,Rainbow,Stay,1.0
