DateTime,storyindex,Depth,Length,Framedepth,Dir,Attrib,Sort,Graphic,Image,speed,calclength,Direction,sortname,calspeed,framepos
2025-09-08 18:12,0,150,0,0,TRUE,0,11,,,,90,Up,Chinook,0,49
2025-09-08 18:12,0,150,0,0,FALSE,0,11,,,,90,Down,Chinook,0,49
2025-09-08 18:18,22,115,261,83,TRUE,128,11,,,,69,Up,Chinook,0.26,6
2025-09-08 18:21,22,165,228,73,TRUE,129,11,,,,99,Up,Chinook,0.22,11
2025-09-08 18:22,22,125,545,77,TRUE,130,11,,,,75,Up,Chinook,0.54,9
2025-09-08 18:24,22,167,1428,70,TRUE,131,11,,,,100,Up,Chinook,1.42,13
2025-09-08 18:37,22,157,536,45,TRUE,132,11,,,,94,Up,Chinook,0.53,26
2025-09-08 18:37,22,215,285,37,TRUE,133,11,,,,129,Up,Chinook,0.28,30
2025-09-08 18:37,0,215,0,0,TRUE,0,11,,,,129,Up,Chinook,0,49
2025-09-08 18:38,22,177,75,67,TRUE,134,11,,<·å,,106,Up,Chinook,0.07,14
2025-09-08 18:38,22,192,222,62,TRUE,135,11,,,,115,Up,Chinook,0.22,17
2025-09-08 18:39,22,182,189,68,TRUE,136,11,,,,109,Up,Chinook,0.18,14
2025-09-08 18:42,22,135,580,68,TRUE,137,11,,¢,,81,Up,Chinook,0.58,14
2025-09-08 18:42,22,190,160,75,TRUE,138,11,,,,114,Up,Chinook,0.16,10
2025-09-08 18:42,0,135,0,0,TRUE,0,11,,,,81,Up,Chinook,0,49
2025-09-08 18:47,22,215,333,65,TRUE,139,11,,,,129,Up,Chinook,0.33,15
2025-09-08 18:48,22,177,197,73,TRUE,140,11,,,,106,Up,Chinook,0.19,11
2025-09-08 18:49,22,207,561,55,TRUE,141,11,,,,124,Up,Chinook,0.56,21
2025-09-08 18:50,22,187,182,74,TRUE,142,11,,,,112,Up,Chinook,0.18,11
2025-09-08 18:51,22,127,259,59,TRUE,143,12,,,,76,Up,Clip Chinook,0.25,19
2025-09-08 18:52,22,205,228,53,TRUE,144,11,,,,123,Up,Chinook,0.22,22
2025-09-08 19:12,22,160,76,81,TRUE,145,11,,#E,,96,Up,Chinook,0.07,7
2025-09-08 19:13,22,192,314,70,TRUE,146,11,,,,115,Up,Chinook,0.31,13
2025-09-08 19:15,22,100,725,43,TRUE,147,11,,,,60,Up,Chinook,0.72,27
2025-09-08 19:23,22,162,292,64,TRUE,148,11,,,,97,Up,Chinook,0.29,16
2025-09-08 19:38,22,140,190,82,TRUE,149,11,,,,84,Up,Chinook,0.19,7
2025-09-08 19:39,22,150,323,80,TRUE,150,11,,,,90,Up,Chinook,0.32,8
2025-09-08 19:46,22,167,147,74,TRUE,151,11,,,,100,Up,Chinook,0.14,11
2025-09-08 19:50,22,185,215,78,TRUE,152,11,,',,111,Up,Chinook,0.21,9
2025-09-08 19:54,22,122,270,72,TRUE,153,8,,,,73,Up,Atlantic,0.27,12
2025-09-08 20:00,22,200,200,74,TRUE,154,11,,,,120,Up,Chinook,0.2,11
2025-09-08 20:06,22,180,170,68,TRUE,155,11,,,,108,Up,Chinook,0.17,14
2025-09-08 20:07,22,135,28,41,FALSE,156,2,,,,81,Down,Not Fish,0.02,28
2025-09-08 20:22,22,170,264,78,TRUE,157,11,,,,102,Up,Chinook,0.26,9
2025-09-08 20:22,22,205,219,77,TRUE,158,11,,,,123,Up,Chinook,0.21,9
2025-09-08 20:44,22,167,421,70,TRUE,159,11,,,,100,Up,Chinook,0.42,13
2025-09-08 21:08,22,190,133,64,TRUE,160,11,,?(Ä,,114,Up,Chinook,0.13,16
2025-09-08 21:09,22,207,349,56,TRUE,161,11,,,,124,Up,Chinook,0.34,20
2025-09-08 21:26,22,65,3047,12,FALSE,162,2,,,,39,Down,Not Fish,3.04,42
2025-09-08 21:32,22,125,177,82,FALSE,163,11,,*,,75,Down,Chinook,0.17,7
2025-09-08 21:33,22,165,176,76,TRUE,164,11,,,,99,Up,Chinook,0.17,10
2025-09-08 21:55,22,220,334,58,TRUE,165,11,,w\,,132,Up,Chinook,0.33,19
2025-09-08 21:55,22,185,185,76,FALSE,166,11,,+,,111,Down,Chinook,0.18,10
2025-09-08 21:55,22,225,244,71,TRUE,167,11,,,,135,Up,Chinook,0.24,12
2025-09-08 22:14,22,145,816,44,TRUE,168,11,,,,87,Up,Chinook,0.81,26
2025-09-08 22:14,0,145,0,0,TRUE,0,11,,,,87,Up,Chinook,0,49
2025-09-08 22:14,0,145,0,0,FALSE,0,11,,,,87,Down,Chinook,0,49
2025-09-08 22:50,22,175,98,67,TRUE,169,11,,?1™,,105,Up,Chinook,0.09,14
2025-09-08 23:28,22,185,102,71,TRUE,170,11,,,,111,Up,Chinook,0.1,12
2025-09-09 0:07,22,197,170,70,TRUE,171,11,,,,118,Up,Chinook,0.17,13
2025-09-09 0:09,22,190,301,73,TRUE,172,11,,,,114,Up,Chinook,0.3,11
2025-09-09 0:29,22,170,212,77,TRUE,173,11,,,,102,Up,Chinook,0.21,9
2025-09-09 0:31,22,210,235,66,TRUE,174,11,,,,126,Up,Chinook,0.23,15
2025-09-09 0:39,22,170,198,71,TRUE,175,11,,,,102,Up,Chinook,0.19,12
2025-09-09 2:28,22,225,459,72,TRUE,176,11,,,,135,Up,Chinook,0.45,12
2025-09-09 3:56,22,195,97,77,TRUE,177,11,,?B?,,117,Up,Chinook,0.09,9
2025-09-09 4:34,22,225,225,69,TRUE,178,11,, ,,135,Up,Chinook,0.22,13
2025-09-09 4:50,22,175,191,74,TRUE,179,11,,,,105,Up,Chinook,0.19,11
2025-09-09 5:42,22,215,219,63,TRUE,180,11,,,,129,Up,Chinook,0.21,16
2025-09-09 5:52,22,160,211,77,TRUE,181,11,,np,,96,Up,Chinook,0.21,9
2025-09-09 6:15,22,127,979,61,TRUE,182,11,,,,76,Up,Chinook,0.97,18
2025-09-09 6:15,22,90,151,87,FALSE,183,11,,F)L,,54,Down,Chinook,0.15,4
2025-09-09 6:25,22,137,725,75,TRUE,184,2,,,,82,Up,Not Fish,0.72,10
2025-09-09 6:38,22,175,160,57,TRUE,185,11,,,,105,Up,Chinook,0.16,20
2025-09-09 6:38,0,175,0,0,FALSE,0,11,,,,105,Down,Chinook,0,49
